Var,USSV0C2 CURNCY,USSV0F2 CURNCY,USSV012 CURNCY,USSV022 CURNCY,USSV0C5 CURNCY,USSV0F5 CURNCY,USSV015 CURNCY,USSV025 CURNCY,USSV0C10 CURNCY,USSV0F10 CURNCY,USSV0110 CURNCY,USSV0210 CURNCY
Adjusted Retail Beta3,0.369,0.785,0.43,0.262,0.603,0.404,0.427,0.225,0.445,0.328,0.486,0.466
,0.541,1.381,0.88,0.662,1.29,1.041,1.303,0.8,1.284,1.156,1.993,2.204
Conference Boar Beta3,-0.056,-0.03,0.015,0.003,-0.037,-0.017,-0.018,0.004,-0.028,-0.021,-0.013,0
,-0.898,-0.571,0.347,0.082,-0.856,-0.478,-0.609,0.14,-0.873,-0.815,-0.583,0.014
Federal Funds T Beta3,0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GDP US Chained Beta3,0.725,0.653,0.569,0.304,0.959,0.205,0.482,0.522,1.273,1.103,0.435,0.407
,0.389,0.421,0.427,0.281,0.752,0.194,0.539,0.681,1.347,1.425,0.654,0.706
ISM Manufacturi Beta3,-0.152,-0.218,-0.176,-0.214,-0.231,-0.249,-0.205,-0.176,-0.131,-0.154,-0.128,-0.111
,-0.949,-1.64,-1.54,-2.312,-2.116,-2.747,-2.682,-2.679,-1.62,-2.326,-2.247,-2.234
Philadelphia Fe Beta3,-0.044,-0.007,0.001,-0.015,0.018,0.009,-0.01,-0.001,0.006,0.013,-0.002,-0.001
,-1.122,-0.204,0.043,-0.638,0.666,0.405,-0.504,-0.081,0.304,0.771,-0.137,-0.117
US CPI Urban Co Beta3,0.128,2.199,5.424,5.404,8.301,7.016,5.434,5.415,5.715,5.663,4.724,3.924
,0.033,0.679,1.949,2.396,3.12,3.179,2.913,3.386,2.898,3.507,3.401,3.257
US Durable Good Beta3,-0.386,-0.232,-0.181,-0.102,-0.065,-0.09,-0.11,-0.048,-0.084,-0.075,-0.084,-0.046
,-1.994,-1.437,-1.305,-0.907,-0.493,-0.821,-1.187,-0.608,-0.851,-0.935,-1.208,-0.761
US Employees on Beta3,-0.004,-0.004,-0.007,-0.006,-0.006,-0.003,-0.005,-0.005,-0.004,-0.003,-0.004,-0.004
,-0.767,-0.931,-1.589,-1.787,-1.607,-1.025,-1.924,-2.064,-1.394,-1.37,-1.993,-1.98
US Initial Jobl Beta3,0.01,0.01,0.028,0.024,0.026,0.019,0.018,0.013,0.021,0.012,0.012,0.01
,0.751,0.838,2.834,2.924,2.774,2.419,2.69,2.336,2.926,2.022,2.459,2.326
US PPI Final De Beta3,0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
University of M Beta3,-0.276,-0.245,-0.049,0.049,-0.175,-0.044,0.006,0.062,-0.133,-0.027,-0.021,-0.021
,-1.177,-1.256,-0.293,0.363,-1.092,-0.333,0.049,0.643,-1.121,-0.279,-0.256,-0.291
R^2,0.038,0.044,0.051,0.052,0.054,0.055,0.062,0.056,0.047,0.05,0.056,0.05
RMSE,2.232,1.858,1.598,1.294,1.527,1.267,1.071,0.918,1.132,0.927,0.797,0.692
nObs,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441
