Coefs,StdErr,pValue,tStat,R2,adjR2,Event,Security,RegressVar,nObs
0.00105950308954749,0.000744281629788123,0.15458418265242,1.42352443906093,0.0059868058567808,0.0059868058567808,University of Michigan Sentiment,SVENY01,SurpriseZscore,322
0.258887074275173,0.183254405969145,0.157738213254796,1.41271950819432,0.011335077803142,0.0113350778031419,CPI MoM,SVENY01,SurpriseZscore,164
1.48128637635583,1.48215560232091,0.317594403711009,0.999413539331686,-0.0107109907777925,-0.0107109907777925,FOMC Rate Decision,SVENY01,SurpriseZscore,110
0.253874642093181,0.154437503871758,0.100203777106734,1.64386652029804,0.0182513084859527,0.0182513084859528,GDP Annualized QoQ,SVENY01,SurpriseZscore,161
-0.000415959125456952,0.000466971668322909,0.373058579429103,-0.890758805455661,0.000905012215232315,0.000905012215232315,Initial Jobless Claims,SVENY01,SurpriseZscore,699
0.000405764107155174,0.00134705739185207,0.763244770258565,0.301222583098177,-0.00350515868743884,-0.00350515868743884,ISM Manufacturing,SVENY01,SurpriseZscore,81
0.000358975055564039,0.00196744663420159,0.855223839636604,0.182457327850072,-0.00362084477579749,-0.00362084477579749,Change in Non-farm Payrolls,SVENY01,SurpriseZscore,163
-0.012691768245456,0.115081301590011,0.912183167590447,-0.110285233744329,-0.00814783912489125,-0.00814783912489125,PCE Core Deflator MoM,SVENY01,SurpriseZscore,88
0.303688250678292,0.17581006144978,0.084102026231358,1.72736559087684,0.0246051975799432,0.0246051975799431,Retail Sales Advance MoM,SVENY01,SurpriseZscore,150
-0.0602949001744977,0.130885294912453,0.645035538622973,-0.460669781237288,-0.0029844247907671,-0.0029844247907671,Unemployment Rate,SVENY01,SurpriseZscore,163
0.00214472008478826,0.00136859757267264,0.117092885345614,1.56709329872622,-0.00234532717551694,-0.00234532717551694,University of Michigan Sentiment,SVENY05,SurpriseZscore,322
0.244367109711009,0.348012975763592,0.4825680662246,0.702178156359923,0.00151610748511144,0.00151610748511133,CPI MoM,SVENY05,SurpriseZscore,164
4.11599266371811,2.31822326927825,0.0758162729399333,1.7754944997164,0.010663081902227,0.0106630819022271,FOMC Rate Decision,SVENY05,SurpriseZscore,110
0.245172302456583,0.266854927274285,0.358227648372372,0.918747519338792,-0.0195104605803251,-0.0195104605803251,GDP Annualized QoQ,SVENY05,SurpriseZscore,161
-0.00089188475995676,0.000902129420054298,0.322837393061382,-0.988643913090738,0.000361599044923944,0.000361599044923944,Initial Jobless Claims,SVENY05,SurpriseZscore,699
0.00124583515766998,0.00244098512162644,0.609783781851462,0.51038211852757,-0.00965785618403481,-0.00965785618403481,ISM Manufacturing,SVENY05,SurpriseZscore,81
-0.00207982393191814,0.00334961130772619,0.534655545953218,-0.620915007995356,7.55853190629319e-05,7.55853190629319e-05,Change in Non-farm Payrolls,SVENY05,SurpriseZscore,163
0.0563665868588909,0.370475932898203,0.87907145255037,0.152146419925148,-0.0225798852549706,-0.0225798852549706,PCE Core Deflator MoM,SVENY05,SurpriseZscore,88
0.67775140391439,0.292185977185922,0.020363116793252,2.31958908651913,0.0352067990974095,0.0352067990974095,Retail Sales Advance MoM,SVENY05,SurpriseZscore,150
-0.104537319153989,0.232356560028274,0.652782228573568,-0.449900442411735,-0.00238087552039778,-0.00238087552039778,Unemployment Rate,SVENY05,SurpriseZscore,163
0.00139739744330826,0.00150495898707308,0.353133445580146,0.928528588028826,-0.00488476706116536,-0.00488476706116536,University of Michigan Sentiment,SVENY10,SurpriseZscore,322
-0.0180064310381357,0.379207053444696,0.962127138865116,-0.0474844306680645,-0.00261081854991385,-0.00261081854991385,CPI MoM,SVENY10,SurpriseZscore,164
5.4661929510738,1.84020636553616,0.00297389085674382,2.97042389019298,0.0290892069078883,0.0290892069078883,FOMC Rate Decision,SVENY10,SurpriseZscore,110
0.159571490386439,0.262677951974566,0.54353269405716,0.607479574082751,-0.018221780528821,-0.018221780528821,GDP Annualized QoQ,SVENY10,SurpriseZscore,161
-0.000917400563140584,0.000991295950381221,0.354728877359345,-0.925455776136057,0.000435811142533438,0.000435811142533549,Initial Jobless Claims,SVENY10,SurpriseZscore,699
0.000892183190831818,0.00295475609730317,0.762691575558812,0.301948168123292,-0.0142234999232593,-0.0142234999232593,ISM Manufacturing,SVENY10,SurpriseZscore,81
-0.00238841295847889,0.00284364496630607,0.400957447363553,-0.839912502010216,0.00207421329807456,0.00207421329807445,Change in Non-farm Payrolls,SVENY10,SurpriseZscore,163
0.14296741485229,0.40526216752214,0.724255178031981,0.35277760005683,-0.0111469176890442,-0.0111469176890442,PCE Core Deflator MoM,SVENY10,SurpriseZscore,88
0.80673565029,0.285183566685096,0.00467185995438379,2.82882937354105,0.0436604234659803,0.0436604234659802,Retail Sales Advance MoM,SVENY10,SurpriseZscore,150
-0.107458819410245,0.208736633503906,0.606688766081761,-0.514805751182312,-0.0020621173656119,-0.0020621173656119,Unemployment Rate,SVENY10,SurpriseZscore,163
