Coefs,StdErr,pValue,tStat,R2,adjR2,Event,Security,RegressVar,nObs
-0.00016892383068161,0.00167002714257671,0.91943110911533,-0.10115035041944,-0.00690380279086766,-0.00690380279086766,University of Michigan Sentiment,SVENY01,SurpriseZscore,80
0.395233630604009,0.20909136656827,0.0587253795880052,1.89024366281026,0.0511332041737794,0.0511332041737794,CPI MoM,SVENY01,SurpriseZscore,58
0,NaN,NaN,NaN,-0.00750227162440886,-0.00750227162440886,FOMC Rate Decision,SVENY01,SurpriseZscore,70
0.0499424193040455,0.277626236343494,0.857238259607309,0.179890848796632,-0.0097543427655955,-0.0097543427655955,GDP Annualized QoQ,SVENY01,SurpriseZscore,35
-0.000508630700894384,0.000784214427025304,0.516605840034149,-0.648586258255578,-0.00738292122153106,-0.00738292122153106,Initial Jobless Claims,SVENY01,SurpriseZscore,159
0.00132591005052388,0.0011349766657463,0.24271533119685,1.16822670504158,0.0324558546022902,0.0324558546022902,ISM Manufacturing,SVENY01,SurpriseZscore,31
0.00298089510719392,0.00250864880159078,0.234736002652835,1.18824727690208,0.0489193223189199,0.0489193223189198,Change in Non-farm Payrolls,SVENY01,SurpriseZscore,45
-0.0566154489150404,0.132116551715884,0.668267814584081,-0.428526540995344,-0.124282320965097,-0.124282320965097,PCE Core Deflator MoM,SVENY01,SurpriseZscore,27
0.107252315279245,0.161176441530234,0.505772821068309,0.665434192869471,-0.0208921362726258,-0.0208921362726258,Retail Sales Advance MoM,SVENY01,SurpriseZscore,49
0.209819704693032,0.199072193372778,0.291888407160497,1.05398800876287,0.0117053505179865,0.0117053505179865,Unemployment Rate,SVENY01,SurpriseZscore,68
-0.00114616907621502,0.00278934164413425,0.681138345181149,-0.410910251394023,-0.00397969854338931,-0.00397969854338931,University of Michigan Sentiment,SVENY05,SurpriseZscore,80
0.399614494119521,0.40367437586125,0.322202135961006,0.989942681565886,0.00957391100662919,0.00957391100662919,CPI MoM,SVENY05,SurpriseZscore,58
0,NaN,NaN,NaN,-0.000546455955394043,-0.000546455955394043,FOMC Rate Decision,SVENY05,SurpriseZscore,70
-0.0961830433874863,0.476991085050899,0.840193974302002,-0.201645369068529,-0.0526978398002209,-0.0526978398002209,GDP Annualized QoQ,SVENY05,SurpriseZscore,35
-0.00207731969329016,0.00153758704512402,0.176687183730252,-1.35102575160069,0.0130325723686262,0.0130325723686262,Initial Jobless Claims,SVENY05,SurpriseZscore,159
0.00100596922063942,0.00447116393203598,0.82198669742773,0.224990457950252,0.00176922002577917,0.00176922002577917,ISM Manufacturing,SVENY05,SurpriseZscore,31
0.00738805280227148,0.00514445708336627,0.150968469190223,1.43611904668415,0.0704516744640257,0.0704516744640258,Change in Non-farm Payrolls,SVENY05,SurpriseZscore,45
-0.0249237280625217,0.333705979733526,0.940463203948932,-0.0746876878934686,-0.0125913552975518,-0.0125913552975518,PCE Core Deflator MoM,SVENY05,SurpriseZscore,27
0.348133507170951,0.370768103393655,0.347755313180802,0.938952148214668,-0.00124850454704584,-0.00124850454704584,Retail Sales Advance MoM,SVENY05,SurpriseZscore,49
0.654069695091824,0.320027025000768,0.0409737843309745,2.0437951922662,0.0324475356101676,0.0324475356101676,Unemployment Rate,SVENY05,SurpriseZscore,68
-0.00214739322165266,0.00303639772299096,0.479431403755916,-0.70721737320281,-0.00131630293897134,-0.00131630293897134,University of Michigan Sentiment,SVENY10,SurpriseZscore,80
0.167254466400709,0.398784303693636,0.674915891127312,0.419410856574738,-0.00137824411312826,-0.00137824411312826,CPI MoM,SVENY10,SurpriseZscore,58
0,NaN,NaN,NaN,-0.00380193376001681,-0.00380193376001681,FOMC Rate Decision,SVENY10,SurpriseZscore,70
-0.231128026389398,0.435693328935476,0.595776898270309,-0.530483280416778,-0.0192603763129797,-0.0192603763129797,GDP Annualized QoQ,SVENY10,SurpriseZscore,35
-0.00177741688817596,0.00168485097212352,0.29145271139921,-1.05494012086765,0.00745603051787347,0.00745603051787336,Initial Jobless Claims,SVENY10,SurpriseZscore,159
0.00205583171235803,0.00549035396051547,0.708073793938685,0.374444293964065,0.00313621623204308,0.00313621623204308,ISM Manufacturing,SVENY10,SurpriseZscore,31
0.00886382253261797,0.00479846576135884,0.0647152435093393,1.84722012689904,0.091670907119375,0.091670907119375,Change in Non-farm Payrolls,SVENY10,SurpriseZscore,45
-0.245385903578539,0.744825121602923,0.741812265421697,-0.329454386622258,8.01319758557684e-05,8.01319758557684e-05,PCE Core Deflator MoM,SVENY10,SurpriseZscore,27
0.27621114446213,0.384093429668762,0.472063974144763,0.719124887661658,-0.00823774018653123,-0.00823774018653123,Retail Sales Advance MoM,SVENY10,SurpriseZscore,49
0.786300121247067,0.258134057664608,0.00231836786216133,3.04609212887631,0.0607722516788175,0.0607722516788175,Unemployment Rate,SVENY10,SurpriseZscore,68
