Estimate,SE,tStat,pValue,Event,Security
-0.00693389770021301,0.0470304003552504,-0.147434375379263,0.882852533175802,CONSSENT Index,USSV0C2Curncy
9.34770398425363,14.3404693411226,0.651840868098244,0.515140832675472,CPI CHNG Index,USSV0C2Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0C2Curncy
-152.41813335032,117.465939988921,-1.29755172745986,0.198891252471994,FDTR Index,USSV0C2Curncy
1.008777849262,4.97792996013817,0.202650068872,0.83958464140351,GDP CQOQ Index,USSV0C2Curncy
0.00699726803954971,0.0285493701357603,0.245093604737188,0.806432966344001,INJCJC Index,USSV0C2Curncy
0.0594852691641066,0.068560260789184,0.867634814678111,0.38700843854553,NAPMPMI Index,USSV0C2Curncy
0.102370296677464,0.0874017681118221,1.17126116426491,0.242680030000851,NFP TCH Index,USSV0C2Curncy
5.28021652442983,14.039086273492,0.376108275251482,0.707468927880731,PCE CMOM Index,USSV0C2Curncy
4.87969044835649,9.25103276542841,0.527475209750866,0.598434031551442,RSTAMOM Index,USSV0C2Curncy
-0.0104037086596812,0.0508821739047373,-0.204466669980714,0.838077534360031,CONSSENT Index,USSV0F2Curncy
9.7769753800069,16.6882938183611,0.58585829602604,0.558532972007713,CPI CHNG Index,USSV0F2Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0F2Curncy
-150.933598947022,117.21483587408,-1.28766634207605,0.202292184238011,FDTR Index,USSV0F2Curncy
-4.11966033644694,5.75642349893638,-0.715663178223099,0.474912860541214,GDP CQOQ Index,USSV0F2Curncy
0.00312736709505674,0.0325232815231403,0.0961577967718794,0.923414026904451,INJCJC Index,USSV0F2Curncy
0.0636670425216156,0.0736865560300975,0.864025216426326,0.388981689994353,NAPMPMI Index,USSV0F2Curncy
0.0885442623683534,0.0906965455441832,0.976269402953375,0.32993487321401,NFP TCH Index,USSV0F2Curncy
5.83996728925253,14.3676282196431,0.406467038259541,0.68508902406701,PCE CMOM Index,USSV0F2Curncy
7.43009711275211,9.61897903642328,0.772441345866049,0.440742698687051,RSTAMOM Index,USSV0F2Curncy
-0.017052681238269,0.0590989006471977,-0.288544813042602,0.773057214763954,CONSSENT Index,USSV012Curncy
12.2947463583115,19.8871807473959,0.618224700347303,0.537025936305572,CPI CHNG Index,USSV012Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV012Curncy
-148.535238010531,116.760367482126,-1.27213746593654,0.207721895236856,FDTR Index,USSV012Curncy
-10.9409226781438,7.78386976867352,-1.40558912254365,0.161172495520173,GDP CQOQ Index,USSV012Curncy
-9.0922612212067e-05,0.0396596230312771,-0.00229257378821685,0.998171238032787,INJCJC Index,USSV012Curncy
0.0653952931993013,0.0847609072411932,0.771526583749443,0.441633325387508,NAPMPMI Index,USSV012Curncy
0.0578796468101159,0.0984738826782775,0.587766474073269,0.557253416037095,NFP TCH Index,USSV012Curncy
6.14570462328482,15.2088337367004,0.404087830117744,0.686833177473312,PCE CMOM Index,USSV012Curncy
10.3772231530217,10.4613589284283,0.991957471683922,0.322387664717487,RSTAMOM Index,USSV012Curncy
-0.0311338494289664,0.072537069765668,-0.429212946284495,0.667965357010215,CONSSENT Index,USSV022Curncy
16.6552296244805,23.2578062073223,0.716113526616149,0.474632247160496,CPI CHNG Index,USSV022Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV022Curncy
-149.005916545701,114.386602857632,-1.30265182130776,0.197153431739051,FDTR Index,USSV022Curncy
-17.5911901506767,10.7822333097612,-1.63149782102668,0.104130387171275,GDP CQOQ Index,USSV022Curncy
-0.000872588583562048,0.0482248829706831,-0.0180941565807949,0.985567257508454,INJCJC Index,USSV022Curncy
0.062544934099111,0.0998192237843239,0.626582052313387,0.531905076593111,NAPMPMI Index,USSV022Curncy
0.00395054399552219,0.110720797400739,0.0356802343215046,0.97156762014242,NFP TCH Index,USSV022Curncy
5.38620356878806,16.8138114946226,0.320343996393125,0.749238211530773,PCE CMOM Index,USSV022Curncy
13.1288960618089,12.2623133864904,1.07067040679887,0.285576589956608,RSTAMOM Index,USSV022Curncy
0.00796776311598195,0.043820114134004,0.181828899204054,0.85579556370418,CONSSENT Index,USSV0C5Curncy
0.469065350533158,12.0939489440048,0.0387851273975886,0.969094630963155,CPI CHNG Index,USSV0C5Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0C5Curncy
-170.106477796435,77.6505787480119,-2.1906659362895,0.0319593217449538,FDTR Index,USSV0C5Curncy
-3.78281166100834,5.87553613364326,-0.64382408259699,0.520320030225859,GDP CQOQ Index,USSV0C5Curncy
0.022494719048125,0.0240729270268914,0.934440544890803,0.350296555655876,INJCJC Index,USSV0C5Curncy
-0.0209815007475419,0.0730832591909782,-0.287090381296678,0.774447398275824,NAPMPMI Index,USSV0C5Curncy
0.102745631420711,0.0805185470068634,1.27604924877685,0.203197854491858,NFP TCH Index,USSV0C5Curncy
3.58769072038631,11.471315606707,0.312753204897325,0.754985218364039,PCE CMOM Index,USSV0C5Curncy
7.38551692872099,7.58920551562093,0.973160749635691,0.3316202950169,RSTAMOM Index,USSV0C5Curncy
0.00728087406987146,0.0498275457382102,0.146121466791171,0.883888283279057,CONSSENT Index,USSV0F5Curncy
-1.32655528119544,13.5888266478494,-0.0976210320120158,0.922316432391596,CPI CHNG Index,USSV0F5Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0F5Curncy
-156.181954960821,90.4939493835947,-1.72588284658437,0.088977828221942,FDTR Index,USSV0F5Curncy
