Estimate,SE,tStat,pValue,Event
386.94284017044,366.574996081669,1.05556255692964,0.292242950891704,CPUPXCHG Index
-609.205201693406,69.5193194098749,-8.76310652728961,3.64706109017133e-16,USURTOT Index
-348.725883498197,232.977145599254,-1.49682443143176,0.138580579486193,FDIDSGMO Index
302.204361678873,373.012684653682,0.810171809463933,0.41931072723994,PCE CMOM Index
-56.4379096608019,52.050107321362,-1.08429958294513,0.279329157289837,GDP CQOQ Index
-57.3387876664746,61.166640859861,-0.937419267437681,0.350490582122666,RSTAXAG% Index
0.00438689882500306,0.000404324520047044,10.8499450503092,1.51467641269227e-22,NFP TCH Index
0.0222746186170506,0.0204828738068282,1.08747526480513,0.27879364805433,EMPRGBCI Index
0.0394705802937041,0.0788431689187323,0.500621434107861,0.617100204048205,USTBTOT Index
-1407.07689360063,723.553574600185,-1.94467547807796,0.0535786679649254,FDTR Index
