Estimate,SE,tStat,pValue,Event
44.0886722594646,254.572170799091,0.173187320990634,0.86265200976072,CPUPXCHG Index
23.3780507467495,69.267886520757,0.33750200736591,0.736035969194444,USURTOT Index
-130.547417605521,224.823853464578,-0.580665332409174,0.563183932668549,FDIDSGMO Index
-278.341816480245,839.153313016055,-0.331693639485065,0.74065067080975,PCE CMOM Index
-17.494832811376,37.9539956849446,-0.460948379627807,0.645256576293264,GDP CQOQ Index
-19.3135746430113,54.988169931021,-0.351231449732531,0.726051845660834,RSTAXAG% Index
-8.02267990663805e-05,0.000428323075588779,-0.187304405573058,0.851581546959995,NFP TCH Index
0.0435594200157429,0.0315547934913524,1.38043749288616,0.169767655802158,EMPRGBCI Index
-0.00175304460582757,0.0669917310713209,-0.0261680744443108,0.979145207808095,USTBTOT Index
-1468.49716066709,599.994001126921,-2.44751973837893,0.0154724319950384,FDTR Index
