Estimate,SE,tStat,pValue,Event,Security
-0.0166078675339856,0.0444832417187778,-0.373351106895046,0.70905619811809,CONSSENT Index,USSV0C2Curncy
-8.54447958593461,9.19966758138979,-0.928781340232274,0.353920305640538,CPI CHNG Index,USSV0C2Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0C2Curncy
18.6452173434912,73.3072346708392,0.254343482293544,0.80000920821602,FDTR Index,USSV0C2Curncy
-5.68399130465937,7.85128117250697,-0.723957170781649,0.469774380049274,GDP CQOQ Index,USSV0C2Curncy
0,0,NaN,NaN,INJCJC Index,USSV0C2Curncy
-0.190863643676775,0.0744968810525034,-2.56203536282625,0.0113785546687161,NAPMPMI Index,USSV0C2Curncy
-0.226620874715707,0.0539929990359735,-4.19722702502076,3.78716777320298e-05,NFP TCH Index,USSV0C2Curncy
-35.5761712376715,12.8369037515546,-2.77139814446013,0.00643484198496271,PCE CMOM Index,USSV0C2Curncy
-8.01676891928862,7.70293205598693,-1.04074251999377,0.299226931923603,RSTAMOM Index,USSV0C2Curncy
-0.0111406531507763,0.0401218668230749,-0.277670358657615,0.781388034589213,CONSSENT Index,USSV0F2Curncy
-6.98517785761393,8.25748351477122,-0.845920896495724,0.398425679314447,CPI CHNG Index,USSV0F2Curncy
0,0,NaN,NaN,DGNOCHNG Index,USSV0F2Curncy
-6.86567797493324,56.5025737327743,-0.121510889174785,0.903650092186037,FDTR Index,USSV0F2Curncy
-5.93104997734062,6.36671316322689,-0.931571727087913,0.352463879822462,GDP CQOQ Index,USSV0F2Curncy
0,0,NaN,NaN,INJCJC Index,USSV0F2Curncy
-0.233172956282172,0.0660215048151408,-3.53177282061432,0.000546798125187829,NAPMPMI Index,USSV0F2Curncy
-0.227207860696941,0.0480032172477974,-4.73317985176017,3.74744063099087e-06,NFP TCH Index,USSV0F2Curncy
-21.4439200322193,12.0499065944539,-1.77959222041514,0.0775727439948449,PCE CMOM Index,USSV0F2Curncy
-14.7257789363415,7.28588832109285,-2.0211370648806,0.0445723252219475,RSTAMOM Index,USSV0F2Curncy
-0.0369930356630737,0.0271717742490205,-1.3614508689806,0.174026330954632,CONSSENT Index,USSV022Curncy
