Swap Term/Tenor,Mean,St. Dev,Kurtosis,Skewness
USSV 3m2y,39.3785444814938,21.4710732519923,1.63478339575611,0.190491014584772
USSV 6m2y,38.525098732911,20.1574032113338,1.5527579182806,0.164558849523269
USSV 12m2y,36.606303051017,17.8169512904592,1.63999210626546,0.228262857943352
USSV 24m2y,32.7018813104368,14.3568249904058,2.16319214243589,0.465846232228172
USSV 3m5y,33.0621938812937,15.3911698645446,2.21014297073977,0.338498120504905
USSV 6m5y,32.1978258752917,14.2310342534055,2.06923727907725,0.285570978253987
USSV 12m5y,30.5056822107369,12.6728286960555,2.20993691230955,0.356258452223065
USSV 24m5y,27.9542500166723,10.7134818410808,2.80745103623296,0.598580154722023
USSV 3m10y,27.0570703734578,11.5754703814657,3.44029083806014,0.800830966589126
USSV 6m10y,26.7300300266756,10.772913706838,2.8236634690235,0.646585285681834
USSV 12m10y,25.9385307269089,9.86192813400999,2.64216173661534,0.60196716322424
USSV 24m10y,24.5369285261754,8.79581409605925,2.95347403078371,0.710815612031658
