Coefs,StdErr,pValue,tStat,R2,adjR2,Event,Security,RegressVar,nObs
-0.0735516749576016,0.100313676477849,0.463426197621915,-0.733216820877294,0.00888007292613513,0.00888007292613502,University of Michigan Sentiment,1stPC,SurpriseZscore,39
-10.6856778817748,26.0325166636824,0.681458085347077,-0.410474254941405,-0.0247628239330837,-0.0247628239330837,CPI MoM,1stPC,SurpriseZscore,32
0,NaN,NaN,NaN,-0.330686283656673,-0.330686283656673,FOMC Rate Decision,1stPC,SurpriseZscore,21
14.8586610687758,4.88674793883708,0.00236104819163951,3.04060312804098,0.0516839861580805,0.0516839861580805,GDP Annualized QoQ,1stPC,SurpriseZscore,27
-0.097859863846258,0.0489105641158492,0.0454148133332394,-2.00079196826411,0.0103255960686096,0.0103255960686096,Initial Jobless Claims,1stPC,SurpriseZscore,104
-0.220325366014402,0.24507912574338,0.368654329872047,-0.898996866200277,-0.150204118508382,-0.150204118508382,ISM Manufacturing,1stPC,SurpriseZscore,9
-0.416714828988996,0.191304367258015,0.029385060373474,-2.17828183936317,0.125999104159763,0.125999104159763,Change in Non-farm Payrolls,1stPC,SurpriseZscore,17
-1.65649220694995,6.78684376880406,0.807173497164622,-0.244074014870369,-0.12274950083109,-0.12274950083109,PCE Core Deflator MoM,1stPC,SurpriseZscore,6
-27.3960464302809,44.2714493496887,0.536035121600678,-0.61881973219098,0.0095905124060055,0.0095905124060055,Retail Sales Advance MoM,1stPC,SurpriseZscore,11
-4.96042092655913,13.5791484492691,0.714889787067676,-0.365296906878291,-0.0510407659128289,-0.0510407659128289,Unemployment Rate,1stPC,SurpriseZscore,49
